"Object File","Total Size","DIRAM",".bss",".data",".text",".vectors","Flash Data",".rodata",".appdesc","Flash Code",".text","RTC FAST",".rtc_reserved",".force_fast"
"rtc_clk.c.obj","2582","2582","0","74","2508","0","0","0","0","0","0","0","0","0"
"cdc_device.c.obj","2524","545","545","0","0","0","0","0","0","1979","1979","0","0","0"
"ieee802_11.c.obj","2461","0","0","0","0","0","6","6","0","2455","2455","0","0","0"
"adc_hal_common.c.obj","2374","8","0","8","0","0","33","33","0","2333","2333","0","0","0"
"periph_ctrl.c.obj","2348","555","32","8","515","0","41","41","0","1752","1752","0","0","0"
"pbuf.c.obj","2332","1","1","0","0","0","147","147","0","2184","2184","0","0","0"
"crypto_mbedtls-ec.c.obj","2322","0","0","0","0","0","0","0","0","2322","2322","0","0","0"
"phy_init.c.obj","2246","237","5","16","216","0","138","138","0","1871","1871","0","0","0"
"wl_chm.o","2229","626","592","4","30","0","66","66","0","1537","1537","0","0","0"
"core_dump_port.c.obj","2206","844","744","100","0","0","76","76","0","1286","1286","0","0","0"
"wpa_auth_ie.c.obj","2180","0","0","0","0","0","0","0","0","2180","2180","0","0","0"
"spi_flash_hal_iram.c.obj","2170","2170","0","0","2170","0","0","0","0","0","0","0","0","0"
"if_hwctrl.o","2088","81","41","0","40","0","38","38","0","1969","1969","0","0","0"
"bignum_core.c.obj","2019","0","0","0","0","0","0","0","0","2019","2019","0","0","0"
"gcm.c.obj","1877","0","0","0","0","0","32","32","0","1845","1845","0","0","0"
"task_wdt.c.obj","1874","38","5","33","0","0","115","115","0","1721","1721","0","0","0"
"spi_flash_hal_gpspi.c.obj","1844","1844","0","0","1844","0","0","0","0","0","0","0","0","0"
"rtc_init.c.obj","1833","0","0","0","0","0","27","27","0","1806","1806","0","0","0"
"esp_err_to_name.c.obj","1809","0","0","0","0","0","1758","1758","0","51","51","0","0","0"
"nvs_api.cpp.obj","1755","16","16","0","0","0","0","0","0","1739","1739","0","0","0"
"cipher_wrap.c.obj","1742","28","0","28","0","0","1068","1068","0","646","646","0","0","0"
"panic_arch.c.obj","1732","0","0","0","0","0","288","288","0","1444","1444","0","0","0"
"raw.c.obj","1694","4","4","0","0","0","28","28","0","1662","1662","0","0","0"
"core_dump_flash.c.obj","1691","16","16","0","0","0","46","46","0","1629","1629","0","0","0"
"mld6.c.obj","1691","1","1","0","0","0","0","0","0","1690","1690","0","0","0"
"wpa_ie.c.obj","1690","0","0","0","0","0","19","19","0","1671","1671","0","0","0"
"ip4.c.obj","1683","6","6","0","0","0","22","22","0","1655","1655","0","0","0"
"mmu_hal.c.obj","1678","1678","0","229","1449","0","0","0","0","0","0","0","0","0"
"tusb_fifo.c.obj","1673","0","0","0","0","0","0","0","0","1673","1673","0","0","0"
"pkparse.c.obj","1657","0","0","0","0","0","0","0","0","1657","1657","0","0","0"
"ieee80211_nan_datapath.o","1649","653","548","1","104","0","7","7","0","989","989","0","0","0"
"esp_adapter.c.obj","1644","772","5","484","283","0","0","0","0","872","872","0","0","0"
"ieee80211_crypto.o","1632","44","44","0","0","0","289","289","0","1299","1299","0","0","0"
"esp_aes_dma_core.c.obj","1617","186","88","56","42","0","39","39","0","1392","1392","0","0","0"
"igmp.c.obj","1608","9","9","0","0","0","28","28","0","1571","1571","0","0","0"
"md.c.obj","1580","0","0","0","0","0","48","48","0","1532","1532","0","0","0"
"stream_buffer.c.obj","1575","254","0","0","254","0","189","189","0","1132","1132","0","0","0"
"tusb_cdc_acm.c.obj","1561","0","0","0","0","0","55","55","0","1506","1506","0","0","0"
"ecdsa.c.obj","1549","0","0","0","0","0","0","0","0","1549","1549","0","0","0"
"esp_timer.c.obj","1547","694","8","8","678","0","21","21","0","832","832","0","0","0"
"libc_a-nano-vfprintf_float.o","1484","0","0","0","0","0","0","0","0","1484","1484","0","0","0"
"rsa_alt_helpers.c.obj","1477","0","0","0","0","0","0","0","0","1477","1477","0","0","0"
"rtc_io_periph.c.obj","1420","0","0","0","0","0","1420","1420","0","0","0","0","0","0"
"esp_bignum.c.obj","1411","126","88","0","38","0","31","31","0","1254","1254","0","0","0"
"sys_arch.c.obj","1399","12","12","0","0","0","165","165","0","1222","1222","0","0","0"
"esp_efuse_rtc_table.c.obj","1396","0","0","0","0","0","1063","1063","0","333","333","0","0","0"
"esp_aes.c.obj","1396","0","0","0","0","0","0","0","0","1396","1396","0","0","0"
"api_lib.c.obj","1381","0","0","0","0","0","47","47","0","1334","1334","0","0","0"
"esp_hostap.c.obj","1375","4","4","0","0","0","0","0","0","1371","1371","0","0","0"
"libc_a-gdtoa-gethex.o","1361","0","0","0","0","0","0","0","0","1361","1361","0","0","0"
"rtc_time.c.obj","1350","1299","0","0","1299","0","51","51","0","0","0","0","0","0"
"ieee80211_crypto_ccmp.o","1342","24","0","24","0","0","307","307","0","1011","1011","0","0","0"
"ieee80211_phy.o","1339","212","0","212","0","0","465","465","0","662","662","0","0","0"
"network.cpp.obj","1315","12","12","0","0","0","0","0","0","1303","1303","0","0","0"
"esp_wpa_main.c.obj","1283","9","9","0","0","0","0","0","0","1274","1274","0","0","0"
"xtensa_vectors.S.obj","1262","1262","0","0","838","424","0","0","0","0","0","0","0","0"
"pem.c.obj","1240","0","0","0","0","0","0","0","0","1240","1240","0","0","0"
"ctr_drbg.c.obj","1234","0","0","0","0","0","0","0","0","1234","1234","0","0","0"
"common.c.obj","1207","0","0","0","0","0","0","0","0","1207","1207","0","0","0"
"libc_a-nano-vfscanf_float.o","1191","0","0","0","0","0","116","116","0","1075","1075","0","0","0"
"esp_aes_gcm.c.obj","1152","0","0","0","0","0","64","64","0","1088","1088","0","0","0"
"hal_mac_tx.o","1151","32","0","0","32","0","0","0","0","1119","1119","0","0","0"
"aes-gcm.c.obj","1142","0","0","0","0","0","0","0","0","1142","1142","0","0","0"
"ieee80211_power.o","1140","0","0","0","0","0","35","35","0","1105","1105","0","0","0"
"libc_a-nano-svfprintf.o","1132","0","0","0","0","0","0","0","0","1132","1132","0","0","0"
"heap_caps.c.obj","1110","670","4","4","662","0","151","151","0","289","289","0","0","0"
