"Object File","Total Size","DIRAM",".bss",".data",".text",".vectors","Flash Data",".rodata",".appdesc","Flash Code",".text","RTC FAST",".rtc_reserved",".force_fast"
"flash_ops.c.obj","270","53","4","16","33","0","22","22","0","195","195","0","0","0"
"int_wdt.c.obj","262","62","8","0","54","0","0","0","0","200","200","0","0","0"
"startup_funcs.c.obj","257","0","0","0","0","0","72","72","0","185","185","0","0","0"
"sha256-prf.c.obj","257","0","0","0","0","0","0","0","0","257","257","0","0","0"
"esp_time_impl.c.obj","246","12","12","0","0","0","0","0","0","234","234","0","0","0"
"libc_a-impure.o","244","244","0","244","0","0","0","0","0","0","0","0","0","0"
"libc_a-fopen.o","244","0","0","0","0","0","0","0","0","244","244","0","0","0"
"cxx11-locale-inst.o","243","64","64","0","0","0","4","4","0","175","175","0","0","0"
"cxx11-wlocale-inst.o","243","64","64","0","0","0","4","4","0","175","175","0","0","0"
"libc_a-makebuf.o","243","0","0","0","0","0","0","0","0","243","243","0","0","0"
"ieee80211_debug.o","240","64","64","0","0","0","0","0","0","176","176","0","0","0"
"spi_flash_chip_issi.c.obj","240","240","0","129","111","0","0","0","0","0","0","0","0","0"
"spi_flash_chip_mxic.c.obj","238","238","0","129","109","0","0","0","0","0","0","0","0","0"
"esp_efuse_api.c.obj","237","0","0","0","0","0","0","0","0","237","237","0","0","0"
"aes-unwrap.c.obj","230","0","0","0","0","0","0","0","0","230","230","0","0","0"
"sha256-kdf.c.obj","228","0","0","0","0","0","0","0","0","228","228","0","0","0"
"ieee80211_ets.o","226","0","0","0","0","0","63","63","0","163","163","0","0","0"
"cpu.c.obj","222","8","0","0","8","0","0","0","0","214","214","0","0","0"
"default_event_loop.c.obj","215","4","4","0","0","0","20","20","0","191","191","0","0","0"
"stdexcept.o","212","0","0","0","0","0","60","60","0","152","152","0","0","0"
"core_dump_crc.c.obj","211","0","0","0","0","0","38","38","0","173","173","0","0","0"
"wpabuf.c.obj","210","0","0","0","0","0","0","0","0","210","210","0","0","0"
"atomicity.o","209","12","12","0","0","0","12","12","0","185","185","0","0","0"
"ieee80211_nan_disc.o","209","0","0","0","0","0","0","0","0","209","209","0","0","0"
"log_linked_list.c.obj","207","4","4","0","0","0","0","0","0","203","203","0","0","0"
"eh_globals.o","202","13","13","0","0","0","12","12","0","177","177","0","0","0"
"aes-wrap.c.obj","202","0","0","0","0","0","0","0","0","202","202","0","0","0"
"xtensa_context.S.obj","201","201","0","0","201","0","0","0","0","0","0","0","0","0"
"libc_a-reent.o","200","0","0","0","0","0","0","0","0","200","200","0","0","0"
"esp_aes_crypto_dma_impl.c.obj","198","0","0","0","0","0","0","0","0","198","198","0","0","0"
"esp_err.c.obj","193","193","0","0","193","0","0","0","0","0","0","0","0","0"
"pk.c.obj","191","0","0","0","0","0","0","0","0","191","191","0","0","0"
"gpio_periph.c.obj","188","0","0","0","0","0","188","188","0","0","0","0","0","0"
"mem.c.obj","187","0","0","0","0","0","20","20","0","167","167","0","0","0"
"esp_ota_ops.c.obj","186","4","4","0","0","0","30","30","0","152","152","0","0","0"
"rc4.c.obj","185","0","0","0","0","0","0","0","0","185","185","0","0","0"
"startup.c.obj","179","8","8","0","0","0","4","4","0","167","167","0","0","0"
"eh_catch.o","179","0","0","0","0","0","0","0","0","179","179","0","0","0"
"spi_flash_chip_boya.c.obj","177","177","0","129","48","0","0","0","0","0","0","0","0","0"
"spi_flash_chip_th.c.obj","175","175","0","127","48","0","0","0","0","0","0","0","0","0"
"tusb_tasks.c.obj","173","4","4","0","0","0","14","14","0","155","155","0","0","0"
"libc_a-sprintf.o","171","0","0","0","0","0","0","0","0","171","171","0","0","0"
"syscalls.c.obj","169","0","0","0","0","0","0","0","0","169","169","0","0","0"
"tag_log_level.c.obj","167","0","0","0","0","0","0","0","0","167","167","0","0","0"
"pk_ecc.c.obj","165","0","0","0","0","0","0","0","0","165","165","0","0","0"
"libc_a-wsetup.o","164","0","0","0","0","0","0","0","0","164","164","0","0","0"
"esp_system.c.obj","155","20","20","0","0","0","0","0","0","135","135","0","0","0"
"hw_random.c.obj","155","76","4","0","72","0","16","16","0","63","63","0","0","0"
"sha1-prf.c.obj","154","0","0","0","0","0","0","0","0","154","154","0","0","0"
"abort.c.obj","152","152","0","0","152","0","0","0","0","0","0","0","0","0"
"heap.c.obj","151","151","0","0","151","0","0","0","0","0","0","0","0","0"
"esp_aes_common.c.obj","151","0","0","0","0","0","0","0","0","151","151","0","0","0"
"netbuf.c.obj","146","0","0","0","0","0","13","13","0","133","133","0","0","0"
"libc_a-puts.o","146","0","0","0","0","0","0","0","0","146","146","0","0","0"
"log_lock.c.obj","145","145","4","0","141","0","0","0","0","0","0","0","0","0"
"system_time.c.obj","145","39","8","0","31","0","0","0","0","106","106","0","0","0"
"ieee80211_crypto_wep.o","145","24","0","24","0","0","0","0","0","121","121","0","0","0"
"libc_a-getenv_r.o","144","0","0","0","0","0","0","0","0","144","144","0","0","0"
"dns.c.obj","143","72","72","0","0","0","0","0","0","71","71","0","0","0"
"log_write.c.obj","140","46","0","4","42","0","0","0","0","94","94","0","0","0"
"sleep_gpio.c.obj","140","0","0","0","0","0","0","0","0","140","140","0","0","0"
"ip.c.obj","137","68","68","0","0","0","24","24","0","45","45","0","0","0"
"efuse_hal.c.obj","131","131","0","0","131","0","0","0","0","0","0","0","0","0"
"xtensa_intr.c.obj","130","22","0","0","22","0","0","0","0","108","108","0","0","0"
"usb_wrap_hal.c.obj","130","0","0","0","0","0","0","0","0","130","130","0","0","0"
"cache_err_int.c.obj","129","0","0","0","0","0","0","0","0","129","129","0","0","0"
"libc_a-vsnprintf.o","129","0","0","0","0","0","0","0","0","129","129","0","0","0"
"libc_a-flags.o","129","0","0","0","0","0","0","0","0","129","129","0","0","0"
"phy_init_data.c.obj","128","0","0","0","0","0","128","128","0","0","0","0","0","0"
"ethip6.c.obj","128","0","0","0","0","0","0","0","0","128","128","0","0","0"
"libc_a-utoa.o","128","0","0","0","0","0","0","0","0","128","128","0","0","0"
"usb_descriptors.c.obj","127","34","0","34","0","0","93","93","0","0","0","0","0","0"
"highint_hdl.S.obj","125","125","0","0","125","0","0","0","0","0","0","0","0","0"
"eh_terminate.o","121","4","4","0","0","0","24","24","0","93","93","0","0","0"
"ext_mem_layout.c.obj","120","0","0","0","0","0","120","120","0","0","0","0","0","0"
"pm_beacon_offset.o","118","4","0","4","0","0","29","29","0","85","85","0","0","0"
"ip4_addr.c.obj","118","0","0","0","0","0","48","48","0","70","70","0","0","0"
"systimer.c.obj","117","117","0","0","117","0","0","0","0","0","0","0","0","0"
"no_vfs_syscalls.c.obj","117","0","0","0","0","0","0","0","0","117","117","0","0","0"
"esp_sha_crypto_dma_impl.c.obj","116","0","0","0","0","0","0","0","0","116","116","0","0","0"
"heap_align_hw.c.obj","114","114","0","0","114","0","0","0","0","0","0","0","0","0"
"port_common.c.obj","113","0","0","0","0","0","30","30","0","83","83","0","0","0"
"ieee80211_ie_vendor.o","111","0","0","0","0","0","0","0","0","111","111","0","0","0"
"err.c.obj","110","0","0","0","0","0","68","68","0","42","42","0","0","0"
"usb_dwc_periph.c.obj","108","0","0","0","0","0","108","108","0","0","0","0","0","0"
"spi_flash_os_func_noos.c.obj","106","106","0","40","66","0","0","0","0","0","0","0","0","0"
"log_timestamp.c.obj","105","105","4","0","101","0","0","0","0","0","0","0","0","0"
"esp_cache.c.obj","102","102","0","24","78","0","0","0","0","0","0","0","0","0"
"temperature_sensor_periph.c.obj","100","100","0","100","0","0","0","0","0","0","0","0","0","0"
"new_op.o","100","0","0","0","0","0","25","25","0","75","75","0","0","0"
"os_xtensa.c.obj","99","0","0","0","0","0","0","0","0","99","99","0","0","0"
"cow-stdexcept.o","98","0","0","0","0","0","12","12","0","86","86","0","0","0"
"wl_offchan.o","97","8","8","0","0","0","0","0","0","89","89","0","0","0"
"libc_a-printf.o","94","0","0","0","0","0","0","0","0","94","94","0","0","0"
"esp_owe.c.obj","91","0","0","0","0","0","0","0","0","91","91","0","0","0"
"uart_hal_iram.c.obj","89","0","0","0","0","0","0","0","0","89","89","0","0","0"
"esp_rom_gpio.c.obj","83","83","0","0","83","0","0","0","0","0","0","0","0","0"
"esp_pbuf_ref.c.obj","79","0","0","0","0","0","0","0","0","79","79","0","0","0"
"esp_md.c.obj","77","0","0","0","0","0","0","0","0","77","77","0","0","0"
"flash_brownout_hook.c.obj","76","76","2","0","74","0","0","0","0","0","0","0","0","0"
"mpu_hal.c.obj","76","0","0","0","0","0","0","0","0","76","76","0","0","0"
"libc_a-itoa.o","76","0","0","0","0","0","0","0","0","76","76","0","0","0"
"bad_alloc.o","74","0","0","0","0","0","20","20","0","54","54","0","0","0"
"crypto_ops.c.obj","73","0","0","0","0","0","44","44","0","29","29","0","0","0"
"adc2_init_cal.c.obj","72","0","0","0","0","0","4","4","0","68","68","0","0","0"
"cpu_region_protect.c.obj","71","0","0","0","0","0","20","20","0","51","51","0","0","0"
"phy_override.c.obj","70","53","1","0","52","0","0","0","0","17","17","0","0","0"
"nvs_partition_lookup.cpp.obj","69","0","0","0","0","0","0","0","0","69","69","0","0","0"
"esp_efuse_table.c.obj","64","36","0","36","0","0","28","28","0","0","0","0","0","0"
"panic_handler_asm.S.obj","64","64","0","0","64","0","0","0","0","0","0","0","0","0"
"sha256.c.obj","62","0","0","0","0","0","0","0","0","62","62","0","0","0"
"sha512.c.obj","62","0","0","0","0","0","0","0","0","62","62","0","0","0"
"eh_call.o","62","0","0","0","0","0","0","0","0","62","62","0","0","0"
"libc_a-vprintf.o","61","0","0","0","0","0","0","0","0","61","61","0","0","0"
"esp_crypto_lock.c.obj","60","8","8","0","0","0","0","0","0","52","52","0","0","0"
"def.c.obj","58","0","0","0","0","0","0","0","0","58","58","0","0","0"
"port_systick.c.obj","55","30","0","0","30","0","0","0","0","25","25","0","0","0"
"libc_a-fwalk.o","55","0","0","0","0","0","0","0","0","55","55","0","0","0"
"sar_periph_ctrl.c.obj","54","0","0","0","0","0","0","0","0","54","54","0","0","0"
"hal_mac_rx.o","52","52","0","0","52","0","0","0","0","0","0","0","0","0"
"init.c.obj","52","0","0","0","0","0","8","8","0","44","32","0","0","0"
"libc_a-getenv.o","52","0","0","0","0","0","0","0","0","52","52","0","0","0"
"platform.c.obj","51","8","0","8","0","0","0","0","0","43","43","0","0","0"
"platform_util.c.obj","51","0","0","0","0","0","4","4","0","47","47","0","0","0"
"new_opvnt.o","51","0","0","0","0","0","16","16","0","35","35","0","0","0"
"cxx_exception_stubs.cpp.obj","51","0","0","0","0","0","0","0","0","51","51","0","0","0"
"md5.c.obj","49","0","0","0","0","0","0","0","0","49","49","0","0","0"
"sha1.c.obj","49","0","0","0","0","0","0","0","0","49","49","0","0","0"
"libc_a-fseek.o","49","0","0","0","0","0","0","0","0","49","49","0","0","0"
"reent_init.c.obj","45","45","0","0","45","0","0","0","0","0","0","0","0","0"
"esp_system_chip.c.obj","44","8","0","0","8","0","0","0","0","36","36","0","0","0"
"libc_a-localeconv.o","43","0","0","0","0","0","0","0","0","43","43","0","0","0"
"stdatomic.c.obj","42","42","0","0","42","0","0","0","0","0","0","0","0","0"
"ieee80211_rfid.o","41","0","0","0","0","0","0","0","0","41","41","0","0","0"
"esp_netif_defaults.c.obj","40","0","0","0","0","0","40","40","0","0","0","0","0","0"
"esp_timer_init.c.obj","38","0","0","0","0","0","8","8","0","30","30","0","0","0"
"nvs_platform.cpp.obj","37","4","4","0","0","0","0","0","0","33","33","0","0","0"
"xtensa_init.c.obj","36","36","4","0","32","0","0","0","0","0","0","0","0","0"
"esp_gpio_reserve.c.obj","36","8","0","8","0","0","0","0","0","28","28","0","0","0"
"spi_flash_chip_drivers.c.obj","36","36","0","36","0","0","0","0","0","0","0","0","0","0"
"esp_memory_utils.c.obj","35","35","0","0","35","0","0","0","0","0","0","0","0","0"
"libc_a-envlock.o","34","0","0","0","0","0","0","0","0","34","34","0","0","0"
"esp_timer_impl_common.c.obj","33","33","0","24","9","0","0","0","0","0","0","0","0","0"
"rtc_io.c.obj","33","0","0","0","0","0","0","0","0","33","33","0","0","0"
"esp_eap_client.c.obj","32","4","4","0","0","0","0","0","0","28","28","0","0","0"
"interrupts--intlevel.o","32","0","0","0","0","0","32","32","0","0","0","0","0","0"
"esp_mem.c.obj","30","0","0","0","0","0","0","0","0","30","30","0","0","0"
"debug_helpers_asm.S.obj","29","29","0","0","29","0","0","0","0","0","0","0","0","0"
"mpi_periph.c.obj","28","0","0","0","0","0","28","28","0","0","0","0","0","0"
"libc_a-sysgettod.o","28","0","0","0","0","0","0","0","0","28","28","0","0","0"
"dport_access_common.c.obj","28","0","0","0","0","0","0","0","0","28","28","0","0","0"
"hal_coex.o","27","0","0","0","0","0","0","0","0","27","27","0","0","0"
"ip6_addr.c.obj","24","0","0","0","0","0","24","24","0","0","0","0","0","0"
"core_dump_init.c.obj","23","0","0","0","0","0","8","8","0","15","15","0","0","0"
"libc_a-atexit.o","21","0","0","0","0","0","0","0","0","21","21","0","0","0"
"esp_hardware.c.obj","19","0","0","0","0","0","0","0","0","19","19","0","0","0"
"esp_wps.c.obj","18","4","4","0","0","0","0","0","0","14","14","0","0","0"
"bootloader_flash_config_esp32s2.c.obj","17","0","0","0","0","0","0","0","0","17","17","0","0","0"
"new_opv.o","16","0","0","0","0","0","0","0","0","16","16","0","0","0"
"phy.o","16","0","0","0","0","0","0","0","0","16","16","0","0","0"
"log_level.c.obj","14","4","0","4","0","0","0","0","0","10","10","0","0","0"
"del_ops.o","14","0","0","0","0","0","0","0","0","14","14","0","0","0"
"del_opv.o","14","0","0","0","0","0","0","0","0","14","14","0","0","0"
"del_op.o","14","0","0","0","0","0","0","0","0","14","14","0","0","0"
"libm_a-s_nan.o","14","0","0","0","0","0","0","0","0","14","14","0","0","0"
"libc_a-errno.o","13","0","0","0","0","0","0","0","0","13","13","0","0","0"
"esp_netif_lwip_defaults.c.obj","12","4","0","4","0","0","8","8","0","0","0","0","0","0"
"cxx_init.cpp.obj","12","0","0","0","0","0","0","0","0","12","12","0","0","0"
"tinfo.o","12","0","0","0","0","0","0","0","0","12","12","0","0","0"
"main.cpp.obj","11","0","0","0","0","0","0","0","0","11","11","0","0","0"
"libm_a-sf_nan.o","11","0","0","0","0","0","0","0","0","11","11","0","0","0"
"flash_encrypt.c.obj","10","10","0","0","10","0","0","0","0","0","0","0","0","0"
"libc_a-environ.o","8","8","4","4","0","0","0","0","0","0","0","0","0","0"
"libc_a-__call_atexit.o","8","8","4","4","0","0","0","0","0","0","0","0","0","0"
"int_asm--set_intclear.o","8","8","0","0","8","0","0","0","0","0","0","0","0","0"
"bootloader_mem.c.obj","8","0","0","0","0","0","0","0","0","8","8","0","0","0"
"state_asm--restore_extra_nw.o","7","7","0","0","7","0","0","0","0","0","0","0","0","0"
"state_asm--save_extra_nw.o","7","7","0","0","7","0","0","0","0","0","0","0","0","0"
"ubsan.c.obj","5","5","0","0","5","0","0","0","0","0","0","0","0","0"
"getentropy.c.obj","5","0","0","0","0","0","0","0","0","5","5","0","0","0"
"pthread_cond_var.c.obj","5","0","0","0","0","0","0","0","0","5","5","0","0","0"
"pthread_rwlock.c.obj","5","0","0","0","0","0","0","0","0","5","5","0","0","0"
"pthread_semaphore.c.obj","5","0","0","0","0","0","0","0","0","5","5","0","0","0"
"eh_exception.o","5","0","0","0","0","0","0","0","0","5","5","0","0","0"
"vfs.c.obj","5","0","0","0","0","0","0","0","0","5","5","0","0","0"
"nullfs.c.obj","5","0","0","0","0","0","0","0","0","5","5","0","0","0"
"nvs_sec_provider.c.obj","5","0","0","0","0","0","0","0","0","5","5","0","0","0"
"eh_term_handler.o","4","4","0","4","0","0","0","0","0","0","0","0","0","0"
"spi_bus_lock.c.obj","4","0","0","0","0","0","4","4","0","0","0","0","0","0"
"crti.o","3","3","0","0","0","3","0","0","0","0","0","0","0","0"
